Trophic level,Taxonomic group,Common name ,Size(mm)
Carnivore,Coleoptera,6 spotted ladybird,0.36
Carnivore,Coleoptera,22 spotted ladybird,0.7
Carnivore,Coleoptera,22 spotted ladybird,0.3
Carnivore,Coleoptera,6 spotted ladybird,0.29
Carnivore,Coleoptera,7 spot ladybird,0.32
Carnivore,Coleoptera,7 spotted ladybird,0.26
Carnivore,Coleoptera,7 spotted ladybird,0.19
Carnivore,Coleoptera,7 spotted ladybird,0.4
Carnivore,Coleoptera,7 spotted ladybird,0.39
Detrivore,Opisthopora,Black headed,0.1
Herbivore,Lepidoptera,Broom moth,0.3
Herbivore,Hemiptera,common froghopper,0.3
Herbivore,Hemiptera,common froghopper,0.3
Herbivore,Hemiptera,common froghopper,0.3
Herbivore,Hemiptera,common froghopper,0.4
Herbivore,Hemiptera,Common green shield bug,0.3
Herbivore,Hemiptera,Common green shield bug,1.2
Herbivore,Hemiptera,Common green shield bug,0.3
Herbivore,Lepidoptera,Common marbled carpet,0.97
Herbivore,Lepidoptera,Common marbled carpet,0.6
Herbivore,Lepidoptera,Common marbled carpet,1.77
Detrivore,Isopoda,Common Pill,0.5
Detrivore,Isopoda,Common shiny ,1.1
Detrivore,Isopoda,Common shiny ,0.82
Detrivore,Isopoda,Common striped ,0.25
Detrivore,Isopoda,Common striped ,0.14
Detrivore,Isopoda,Common striped ,0.23
Detrivore,Isopoda,Common striped ,0.14
Herbivore,Hemiptera,fire bug,0.09
Herbivore,Hemiptera,Forest bug,0.31
Herbivore,Hemiptera,Forest bug,0.29
Herbivore,Hemiptera,Forest bug,0.36
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.34
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.4
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.9
Herbivore,Stylommatophora,Garden snail,0.14
Herbivore,Stylommatophora,Garden snail,0.25
