Site,Land cover,Taxonomic group,Trophic  level,N of individuals, Name ,Polyethylene,Polyester,Polyproplene,Epoxy resin,Polyacrylamide,Nylon,Cellophane,Poly isobutene film,Polystrene,Polyvinyl acetate,Zein,Aluminium silicate,Triglyceride film 
1,Calcareous grassland,Stylommatophora,Herbivore,12,Garden snail,0,1,0,0,0,0,0,0,0,0,1,0,0
1,Calcareous grassland,Stylommatophora,Herbivore,1,Glass snail,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Calcareous grassland,Stylommatophora,Herbivore,5,Large red slug,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Calcareous grassland,Coleoptera,Herbivore,3,thick legged flower beetle,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Calcareous grassland,Stylommatophora,Herbivore,9,Garden snail,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Arable and Horticulture,Stylommatophora,Carnivore,2,Leopard slug,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Suburban,Coleoptera,Carnivore,1,22 spotted ladybird,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Suburban,Coleoptera,Carnivore,1,6 spotted ladybird,1,1,0,0,0,0,0,0,0,0,0,0,0
3,Suburban,Opisthopora,Detrivore,2,Rosy tipped worm,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Suburban,Lepidoptera,Herbivore,2,Common marbled carpet,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Suburban,Coleoptera,Carnivore,1,Pterostichus versicolor,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Suburban,Opisthopora,Detrivore,3,Rosy tipped worm,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Calcareous grassland,Coleoptera,Herbivore,3,Mint leaf beetle,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Calcareous grassland,Coleoptera,Herbivore,1,Pill beetle,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Improved grassland,Coleoptera,Herbivore,1,Mint leaf beetle,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Improved grassland,Isopoda,Detrivore,4,Rough woodlouse ,0,0,0,0,0,0,0,0,0,0,1,0,0
